City,County,Region, Area (sq. mi.) ,Latitude,Longitude, pop2020 ,pop2023,Tier,Growth, Population Density ,Median Household Income,Income Generated (median),Median Age,Bachelors Degree,Graduate Degree,Poverty Rate,Unemployment Rate,Housing Units,Occupied Units,Vacancy Rates,Median Value of Owner-Occupied Units,Total Value of Residential Units
Margate,Broward,Southeast Florida,9,26.248,-80.2112,"58,712","60,341",3,0.90%,"6,888","$52,881 ","$1,488,705,912 ",47,16.00%,7.00%,9.00%,4.10%,"28,152","25,134",11%,"$230,900 ","$5,803,440,600 "
Marianna,Jackson,Florida Panhandle,19,30.7441,-85.2893,"6,245","6,287",4,0.20%,339,"$27,427 ","$87,876,108 ",36,4.00%,5.00%,23.70%,5.30%,"3,204","2,797",13%,"$86,200 ","$241,101,400 "
Marion Oaks,Marion,Central Florida,30,,,,"20,190",4,,683,"$62,872 ","$436,708,912 ",36,10.00%,3.00%,6.10%,5.50%,"6,946","6,300",9%,"$154,200 ","$971,460,000 "
Mary Esther ,Okaloosa,Florida Panhandle,1,,,,"3,979",4,,"2,735","$73,281 ","$124,211,295 ",39,18.00%,12.00%,27.10%,5.90%,"1,695","1,477",13%,"$194,800 ","$287,719,600 "
Mascotte,Lake,Central Florida,12,28.6044,-81.9056,"6,609","7,062",4,2.20%,570,"$59,630 ","$115,443,680 ",31,8.00%,3.00%,4.70%,2.60%,"1,936","1,888",2%,"$185,100 ","$349,468,800 "
Mayo ,Lafayette,Northeast Florida,1,,,,"1,730",4,,"1,925","$58,679 ","$30,806,475 ",33,8%,1%,13.20%,0.00%,525,453,14%,"$90,900 ","$41,177,700 "
McGregor,Lee,Suncoast,2,26.5616,-81.9129,"7,976","8,147",4,0.70%,"3,443","$69,379 ","$353,555,384 ",61,26.00%,19.00%,2.50%,7.70%,"5,096","3,772",26%,"$337,100 ","$1,271,541,200 "
Meadow Oaks ,Pasco,Suncoast,1,,,,"2,815",4,,"1,929","$46,055 ","$66,042,870 ",58,8%,5%,1.50%,9.50%,"1,434","1,255",12%,"$134,700 ","$169,048,500 "
Meadow Woods,Orange,Central Florida,11,28.3729,-81.3337,"43,790","49,259",3,3.80%,"4,410","$68,046 ","$968,838,948 ",35,20.00%,10.00%,8.90%,4.20%,"14,238","10,782",24%,"$270,200 ","$2,913,296,400 "
Medulla,Polk,Central Florida,6,27.9585,-81.9812,"10,871","11,465",4,1.80%,"2,053","$70,906 ","$299,861,474 ",38,19.00%,8.00%,7.20%,2.20%,"4,229","3,925",7%,"$230,000 ","$902,750,000 "
Melbourne,Brevard,Northeast Florida,44,28.1104,-80.6627,"84,678","87,261",3,1.00%,"1,980","$55,543 ","$2,201,446,805 ",42,20.00%,10.00%,9.10%,3.80%,"39,635","34,473",13%,"$200,900 ","$6,925,625,700 "
Melbourne Beach ,Brevard,Northeast Florida,1,,,,"3,219",4,,"3,260","$69,896 ","$120,850,184 ",53,31%,30%,20.60%,1.50%,"1,729","1,395",19%,"$451,500 ","$629,842,500 "
Memphis,Manatee,Suncoast,3,27.545,-82.5559,"9,024","9,378",4,1.30%,"2,871","$59,613 ","$241,849,941 ",36,11.00%,8.00%,17.30%,7.90%,"4,057","3,433",15%,"$182,500 ","$626,522,500 "
Merritt Island,Brevard,Northeast Florida,18,28.3092,-80.676,"34,518","34,452",3,-0.10%,"1,967","$78,022 ","$1,317,635,536 ",50,24.00%,16.00%,4.50%,4.60%,"16,888","13,582",20%,"$316,400 ","$4,297,344,800 "
Miami,Miami-Dade,South Florida,36,25.7752,-80.2086,"442,241","455,075",1,0.90%,"12,642","$47,860 ","$10,102,480,240 ",40,19.00%,13.00%,16.90%,5.60%,"211,084","181,597",14%,"$369,100 ","$67,027,452,700 "
Miami Beach,Miami-Dade,South Florida,8,25.8106,-80.1488,"82,890","81,423",3,-0.60%,"10,585","$59,162 ","$3,794,354,870 ",42,27.00%,22.00%,8.00%,4.80%,"64,135","41,533",35%,"$450,700 ","$18,718,923,100 "
Miami Gardens,Miami-Dade,South Florida,18,25.9489,-80.2436,"111,640","112,981",2,0.40%,"6,198","$51,067 ","$1,786,323,660 ",37,10.00%,5.00%,12.50%,8.50%,"34,980","32,651",7%,"$252,600 ","$8,247,642,600 "
Miami Lakes,Miami-Dade,South Florida,6,25.9127,-80.3204,"30,467","30,800",3,0.40%,"5,445","$84,504 ","$952,360,080 ",42,22.00%,16.00%,4.20%,4.00%,"11,270","10,695",5%,"$443,600 ","$4,744,302,000 "
Miami Shores,Miami-Dade,South Florida,2,25.867,-80.1783,"11,567","11,888",4,0.90%,"4,780","$127,721 ","$531,319,360 ",40,32.00%,27.00%,2.80%,5.80%,"4,160","3,687",11%,"$590,100 ","$2,175,698,700 "
Miami Springs,Miami-Dade,South Florida,3,25.8202,-80.2889,"13,859","13,874",4,0.00%,"4,819","$73,991 ","$430,035,692 ",45,22.00%,17.00%,8.20%,1.70%,"5,812","5,543",5%,"$436,700 ","$2,420,628,100 "
Micco,Brevard,Northeast Florida,8,27.8573,-80.5107,"9,574","9,730",4,0.50%,"1,280","$43,500 ","$297,670,500 ",69,11.00%,5.00%,7.00%,3.70%,"6,843","4,966",27%,"$118,100 ","$586,484,600 "
Middleburg,Clay,Northeast Florida,20,30.0502,-81.9011,"12,881","12,842",4,-0.10%,654,"$63,198 ","$341,395,596 ",43,12.00%,5.00%,8.10%,4.30%,"5,402","4,824",11%,"$175,800 ","$848,059,200 "
Midway,Santa Rosa,Florida Panhandle,12,30.4051,-87.0096,"19,567","20,602",4,1.70%,"1,716","$79,446 ","$691,339,092 ",45,21.00%,12.00%,6.70%,3.50%,"8,702","7,628",12%,"$265,900 ","$2,028,285,200 "
Midway ,Gadsden,Florida Panhandle,10,,,,"3,402",4,,354,"$55,947 ","$66,129,354 ",33,13%,10%,10.80%,5.20%,"1,182","1,089",8%,"$164,900 ","$179,576,100 "
Milton,Santa Rosa,Florida Panhandle,6,30.6296,-87.0514,"10,197","10,608",4,1.30%,"1,906","$65,410 ","$322,471,300 ",40,17.00%,4.00%,7.10%,2.90%,"4,930","4,466",9%,"$148,100 ","$661,414,600 "
Mims,Brevard,Northeast Florida,17,28.6913,-80.844,"7,336","7,420",4,0.40%,434,"$51,425 ","$201,431,725 ",54,9.00%,6.00%,9.10%,8.80%,"3,917","3,141",20%,"$201,700 ","$633,539,700 "
Minneola,Lake,Central Florida,11,28.6023,-81.7294,"13,843","15,175",4,3.00%,"1,365","$85,536 ","$384,484,320 ",37,17.00%,9.00%,3.50%,4.10%,"4,495","4,363",3%,"$288,900 ","$1,260,470,700 "
Miramar,Broward,Southeast Florida,29,25.9725,-80.3386,"134,721","138,525",2,0.90%,"4,801","$75,200 ","$3,362,643,200 ",38,18.00%,11.00%,7.30%,4.60%,"44,716","42,171",6%,"$333,500 ","$14,064,028,500 "
Miramar Beach,Walton,Florida Panhandle,7,30.3849,-86.3436,"8,002","8,560",4,2.20%,"1,220","$75,347 ","$1,058,776,044 ",56,30.00%,23.00%,2.40%,10.40%,"14,052","4,334",69%,"$434,300 ","$1,882,256,200 "
Monticello ,Jefferson,Florida Panhandle,4,,,,"2,539",4,,633,"$43,780 ","$61,904,920 ",54,18%,9%,2.80%,5.90%,"1,414","1,192",16%,"$133,300 ","$158,893,600 "
Montura ,Hendry,Suncoast,22,,,,"3,424",4,,153,"$35,417 ","$54,046,342 ",44,2%,0%,7.30%,5.80%,"1,526","1,353",11%,"$94,600 ","$127,993,800 "
Montverde ,Lake,Central Florida,2,,,,"2,088",4,,"1,248","$96,316 ","$65,398,564 ",40,18%,17%,29.80%,6.30%,679,646,5%,"$347,000 ","$224,162,000 "
Moon Lake,Pasco,Suncoast,6,28.2979,-82.6056,"4,817","4,787",4,-0.20%,843,"$39,542 ","$77,739,572 ",39,4.00%,2.00%,25.30%,22.10%,"1,966","1,690",14%,"$57,600 ","$97,344,000 "
Moore Haven ,Glades,Suncoast,1,,,,"2,124",4,,"1,994","$36,534 ","$36,899,340 ",43,5%,0%,1.80%,8.40%,"1,010",833,18%,"$79,700 ","$66,390,100 "
Mount Dora,Lake,Central Florida,8,28.8133,-81.6334,"16,341","17,532",4,2.30%,"2,182","$60,500 ","$488,053,500 ",49,20.00%,14.00%,6.80%,6.80%,"8,067","6,908",14%,"$268,800 ","$1,856,870,400 "
Mount Plymouth,Lake,Central Florida,3,28.8039,-81.5345,"4,417","4,540",4,0.90%,"1,571","$49,464 ","$111,986,496 ",42,8.00%,5.00%,10.40%,1.60%,"2,264","2,029",10%,"$244,000 ","$495,076,000 "
Mulberry ,Polk,Central Florida,6,,,,"3,920",4,,634,"$44,702 ","$88,822,874 ",49,11%,8%,5.30%,5.20%,"1,987","1,627",18%,"$48,000 ","$78,096,000 "
Myrtle Grove,Escambia,Florida Panhandle,7,30.4145,-87.3028,"17,224","17,629",4,0.80%,"2,653","$54,585 ","$394,049,115 ",32,13.00%,6.00%,12.50%,14.30%,"7,219","6,015",17%,"$127,800 ","$768,717,000 "
Naples,Collier,Suncoast,12,26.1505,-81.7953,"19,115","18,989",4,-0.20%,"1,544","$125,306 ","$2,305,254,482 ",66,34.00%,27.00%,3.30%,2.20%,"18,397","9,594",48%,"$1,035,900 ","$9,938,424,600 "
Naples Manor,Collier,Suncoast,1,26.0897,-81.7248,"5,132","5,003",4,-0.90%,"7,314","$48,659 ","$68,609,190 ",28,6.00%,0.00%,17.30%,7.20%,"1,410","1,410",0%,"$235,500 ","$332,055,000 "
Naples Park,Collier,Suncoast,1,26.2629,-81.8113,"5,092","4,828",4,-1.80%,"3,925","$71,786 ","$235,960,582 ",55,24.00%,13.00%,4.90%,1.80%,"3,287","2,388",27%,"$400,400 ","$956,155,200 "
Naranja,Miami-Dade,South Florida,1,25.5161,-80.4219,"13,509","15,072",4,3.60%,"10,061","$46,743 ","$191,085,384 ",29,14.00%,6.00%,24.90%,11.20%,"4,088","3,859",6%,"$235,000 ","$906,865,000 "
Nassau Village-Ratliff,Nassau,Northeast Florida,15,30.5109,-81.8088,"5,561","5,627",4,0.40%,383,"$50,653 ","$106,219,341 ",45,4.00%,2.00%,8.60%,3.60%,"2,097","1,954",7%,"$168,600 ","$329,444,400 "
Navarre,Santa Rosa,Florida Panhandle,23,30.4161,-86.8887,"40,817","43,649",3,2.20%,"1,892","$90,139 ","$1,307,376,056 ",37,17.00%,12.00%,8.20%,7.10%,"14,504","13,693",6%,"$265,300 ","$3,632,752,900 "
Navarre Beach ,Santa Rosa,Florida Panhandle,1,,,,"1,515",4,,"1,283","$111,130 ","$222,926,780 ",51,34%,21%,,3.60%,"2,006",761,62%,"$540,600 ","$411,396,600 "
Neptune Beach,Duval,Northeast Florida,2,,,,"6,880",4,,"2,928","$98,856 ","$336,802,392 ",43,39.00%,22.00%,3.00%,1.70%,"3,407","2,957",13%,"$462,200 ","$1,366,725,400 "
New Port Richey,Pasco,Suncoast,5,28.2466,-82.7175,"16,728","17,274",4,1.10%,"3,799","$40,319 ","$371,741,180 ",52,10.00%,5.00%,9.30%,5.80%,"9,220","7,482",19%,"$113,500 ","$849,207,000 "
New Port Richey East,Pasco,Suncoast,4,28.2633,-82.6942,"11,015","11,309",4,0.90%,"3,015","$42,377 ","$253,244,952 ",54,9.00%,3.00%,9.40%,10.70%,"5,976","5,384",10%,"$131,800 ","$709,611,200 "
New Smyrna Beach,Volusia,Northeast Florida,38,29.0294,-80.9549,"30,142","32,446",3,2.40%,860,"$66,159 ","$1,383,715,485 ",59,23.00%,12.00%,5.90%,3.80%,"20,915","14,574",30%,"$283,200 ","$4,127,356,800 "
Newberry,Alachua,Northeast Florida,57,29.6322,-82.5899,"7,342","8,059",4,3.10%,141,"$71,734 ","$197,842,372 ",36,17.00%,11.00%,7.00%,5.10%,"2,758","2,542",8%,"$230,000 ","$584,660,000 "
Niceville,Okaloosa,Florida Panhandle,14,30.5288,-86.476,"15,772","16,678",4,1.80%,"1,235","$84,097 ","$525,269,862 ",38,20.00%,17.00%,8.20%,2.90%,"6,246","5,618",10%,"$269,800 ","$1,515,736,400 "
Nocatee,St. Johns,Northeast Florida,26,30.0851,-81.4099,"22,503","27,897",3,6.90%,"1,058","$128,382 ","$975,831,582 ",40,34.00%,31.00%,2.80%,7.00%,"7,601","6,610",13%,"$439,700 ","$2,906,417,000 "
Nokomis ,Sarasota,Suncoast,2,,,,"3,481",4,,"1,787","$43,793 ","$102,563,206 ",51,15%,7%,21.80%,0.60%,"2,342","1,910",18%,"$201,600 ","$385,056,000 "
North Bay Village,Miami-Dade,South Florida,0,25.8491,-80.151,"8,159","8,465",4,1.20%,"22,878","$65,857 ","$277,126,256 ",41,29.00%,15.00%,5.40%,4.70%,"4,208","3,336",21%,"$340,100 ","$1,134,573,600 "
North Brooksville ,Hernando,Central Florida,7,,,,"3,644",4,,559,"$57,750 ","$107,357,250 ",45,11%,3%,22.30%,6.80%,"1,859","1,618",13%,"$131,800 ","$213,252,400 "
North Fort Myers,Lee,Suncoast,51,26.718,-81.8458,"42,719","43,712",3,0.80%,863,"$50,177 ","$1,404,805,469 ",63,11.00%,7.00%,8.50%,4.90%,"27,997","20,270",28%,"$111,400 ","$2,258,078,000 "
North Lauderdale,Broward,Southeast Florida,5,26.2125,-80.2214,"44,794","45,925",3,0.80%,"9,938","$49,426 ","$815,479,574 ",35,11.00%,6.00%,15.40%,6.00%,"16,499","15,561",6%,"$199,700 ","$3,107,531,700 "
North Merritt Island,Brevard,Northeast Florida,17,,,,"8,429",4,,496,"$106,484 ","$383,555,368 ",52,25.00%,15.00%,1.60%,10.20%,"3,602","3,159",12%,"$379,000 ","$1,197,261,000 "
North Miami,Miami-Dade,South Florida,8,25.9008,-80.1686,"60,191","60,611",3,0.20%,"7,190","$44,283 ","$979,407,111 ",38,13.00%,6.00%,16.00%,6.70%,"22,117","20,089",9%,"$250,200 ","$5,026,267,800 "
North Miami Beach,Miami-Dade,South Florida,5,25.93,-80.1652,"43,676","44,321",3,0.50%,"9,146","$52,223 ","$890,141,035 ",39,17.00%,8.00%,10.20%,6.50%,"17,045","14,463",15%,"$230,800 ","$3,338,060,400 "
North Palm Beach,Palm Beach,Southeast Florida,3,26.8203,-80.0569,"13,162","13,507",4,0.90%,"4,137","$81,135 ","$677,801,790 ",56,30.00%,17.00%,3.70%,1.20%,"8,354","6,316",24%,"$366,400 ","$2,314,182,400 "
North Port,Sarasota,Suncoast,99,27.0582,-82.198,"74,793","80,025",3,2.20%,806,"$69,265 ","$2,286,368,385 ",49,16.00%,9.00%,4.10%,3.20%,"33,009","28,209",15%,"$227,400 ","$6,414,726,600 "
North River Shores ,Martin,Southeast Florida,1,,,,"3,739",4,,"2,954","$62,016 ","$115,411,776 ",47,20%,12%,0.00%,2.30%,"1,861","1,504",19%,"$225,900 ","$339,753,600 "
North Sarasota ,Sarasota,Suncoast,1,,,,"2,370",4,,"2,887","$42,326 ","$41,521,806 ",30,19%,0%,1.70%,7.80%,981,812,17%,"$164,800 ","$133,817,600 "
North Weeki Wachee,Hernando,Central Florida,14,28.5536,-82.5549,"9,131","9,314",4,0.70%,656,"$51,277 ","$218,798,959 ",59,18.00%,6.00%,10.70%,4.50%,"4,267","3,391",21%,"$193,300 ","$655,480,300 "
Northdale,Hillsborough,Suncoast,8,28.1046,-82.5281,"23,033","23,318",4,0.40%,"2,883","$83,517 ","$801,345,615 ",41,30.00%,14.00%,3.50%,2.80%,"9,595","9,328",3%,"$279,300 ","$2,605,310,400 "
Oak Hill ,Volusia,Northeast Florida,7,,,,"1,866",4,,278,"$65,720 ","$65,785,720 ",57,12%,4%,4.50%,5.10%,"1,001",749,25%,"$224,700 ","$168,300,300 "
Oak Ridge,Orange,Central Florida,4,28.4731,-81.4157,"25,062","25,776",3,0.90%,"7,263","$44,544 ","$380,895,744 ",32,9.00%,2.00%,24.00%,6.00%,"8,551","6,693",22%,"$154,300 ","$1,032,729,900 "
Oakland ,Orange,Central Florida,2,,,,"3,444",4,,"1,460","$124,856 ","$140,338,144 ",37,25%,11%,26.40%,3.90%,"1,124","1,029",8%,"$364,700 ","$375,276,300 "
Oakland Park,Broward,Southeast Florida,8,26.1791,-80.1524,"44,229","45,090",3,0.60%,"5,990","$55,700 ","$1,076,792,400 ",40,18.00%,11.00%,11.40%,6.70%,"19,332","17,462",10%,"$267,400 ","$4,669,338,800 "
Oakleaf Plantation,Clay,Northeast Florida,16,30.174,-81.8364,"31,034","34,250",3,3.20%,"2,085","$93,738 ","$861,733,434 ",36,25.00%,9.00%,6.00%,2.90%,"9,193","8,734",5%,"$246,000 ","$2,148,564,000 "
Ocala,Marion,Central Florida,47,29.1775,-82.151,"63,591","65,775",3,1.10%,"1,391","$46,841 ","$1,307,941,243 ",38,17.00%,10.00%,14.50%,8.10%,"27,923","25,060",10%,"$154,300 ","$3,866,758,000 "
Ocala Estates ,Marion,Central Florida,1,,,,"3,243",4,,"3,325","$26,156 ","$23,278,840 ",34,1%,0%,1.40%,14.30%,890,710,20%,"$46,100 ","$32,731,000 "
Ocean City,Okaloosa,Florida Panhandle,2,30.4399,-86.6072,"6,314","6,542",4,1.20%,"4,210","$49,653 ","$141,908,274 ",35,20.00%,6.00%,8.20%,1.70%,"2,858","2,466",14%,"$229,400 ","$565,700,400 "
Ocean Ridge ,Palm Beach,Southeast Florida,1,,,,"1,574",4,,"2,070","$129,500 ","$208,754,000 ",59,42%,30%,44.20%,5.00%,"1,612",830,49%,"$1,000,000 ","$830,000,000 "
Ocklawaha ,Marion,Central Florida,2,,,,"1,874",4,,784,"$27,804 ","$37,952,460 ",50,1%,4%,5.80%,9.30%,"1,365","1,015",26%,"$117,000 ","$118,755,000 "
Ocoee,Orange,Central Florida,15,28.5786,-81.5341,"47,295","50,811",3,2.40%,"3,319","$83,690 ","$1,247,064,690 ",35,20.00%,10.00%,7.20%,6.10%,"14,901","13,980",6%,"$284,500 ","$3,977,310,000 "
Odessa,Pasco,Suncoast,5,28.1823,-82.5504,"8,080","8,323",4,1.00%,"1,552","$96,444 ","$268,403,652 ",41,30.00%,13.00%,2.60%,3.20%,"2,783","2,662",4%,"$352,800 ","$939,153,600 "
Ojus,Miami-Dade,South Florida,3,25.9546,-80.1714,"19,673","20,165",4,0.80%,"7,612","$50,719 ","$411,838,280 ",43,21.00%,15.00%,10.80%,6.20%,"8,120","6,770",17%,"$261,400 ","$1,769,678,000 "
Okeechobee,Okeechobee,Southeast Florida,4,27.2416,-80.8293,"5,254","5,143",4,-0.70%,"1,268","$40,149 ","$90,094,356 ",39,16.00%,6.00%,20.20%,3.80%,"2,244","1,955",13%,"$152,000 ","$297,160,000 "
Oldsmar,Pinellas,Suncoast,9,28.0484,-82.6713,"14,898","15,291",4,0.90%,"1,710","$67,389 ","$399,481,992 ",38,22.00%,12.00%,7.70%,3.70%,"5,928","5,464",8%,"$272,800 ","$1,490,579,200 "
Olga ,Lee,Suncoast,4,,,,"2,664",4,,632,"$63,818 ","$61,201,462 ",37,9%,7%,17.80%,4.50%,959,899,6%,"$226,800 ","$203,893,200 "
Olympia Heights,Miami-Dade,South Florida,3,25.7279,-80.339,"12,873","12,687",4,-0.50%,"4,768","$78,214 ","$333,895,566 ",43,21.00%,9.00%,14.10%,2.90%,"4,269","4,168",2%,"$396,000 ","$1,650,528,000 "
On Top of the World,Marion,Central Florida,18,,,,"11,826",4,,671,"$47,385 ","$355,387,500 ",72,20.00%,16.00%,3.30%,7.60%,"7,500","7,009",7%,"$197,200 ","$1,382,174,800 "
Opa-locka,Miami-Dade,South Florida,4,25.9,-80.2552,"16,463","16,835",4,0.70%,"3,908","$27,734 ","$177,913,610 ",35,6.00%,1.00%,31.10%,9.60%,"6,415","6,092",5%,"$197,400 ","$1,202,560,800 "
Orange City,Volusia,Northeast Florida,8,28.9373,-81.2833,"12,632","13,241",4,1.60%,"1,696","$45,698 ","$300,921,330 ",46,15.00%,10.00%,10.40%,2.90%,"6,585","5,771",12%,"$179,000 ","$1,033,009,000 "
Orange Park,Clay,Northeast Florida,4,30.1709,-81.7047,"9,089","9,293",4,0.70%,"2,554","$70,929 ","$254,776,968 ",45,22.00%,9.00%,13.10%,6.20%,"3,592","3,403",5%,"$217,100 ","$738,791,300 "
Orangetree,Collier,Suncoast,4,26.2929,-81.5759,"5,896","6,343",4,2.40%,"1,744","$107,065 ","$190,361,570 ",43,11.00%,8.00%,0.00%,2.10%,"1,778","1,478",17%,"$340,500 ","$503,259,000 "
Oriole Beach ,Santa Rosa,Florida Panhandle,1,,,,"1,739",4,,"2,067","$52,263 ","$37,420,308 ",38,29%,16%,13.90%,4.40%,716,665,7%,"$260,500 ","$173,232,500 "
Orlando,Orange,Central Florida,111,28.4246,-81.227,"307,573","328,354",1,2.20%,"2,970","$58,968 ","$8,380,237,320 ",34,25.00%,15.00%,12.90%,5.60%,"142,115","118,834",16%,"$283,700 ","$33,713,205,800 "
Orlovista,Orange,Central Florida,2,28.5441,-81.4629,"6,806","7,010",4,1.00%,"3,812","$38,168 ","$96,336,032 ",36,8.00%,4.00%,24.80%,10.60%,"2,524","2,337",7%,"$160,700 ","$375,555,900 "
Ormond Beach,Volusia,Northeast Florida,33,29.2956,-81.1002,"43,080","44,562",3,1.10%,"1,347","$60,229 ","$1,277,878,693 ",52,22.00%,11.00%,5.50%,2.70%,"21,217","18,765",12%,"$239,200 ","$4,488,588,000 "
Ormond-by-the-Sea,Volusia,Northeast Florida,2,29.3433,-81.0686,"7,312","7,285",4,-0.10%,"3,635","$53,328 ","$315,221,808 ",62,19.00%,13.00%,6.00%,6.00%,"5,911","3,583",39%,"$259,700 ","$930,505,100 "
Osprey,Sarasota,Suncoast,5,27.1904,-82.4757,"6,690","6,867",4,0.90%,"1,314","$87,120 ","$307,969,200 ",58,32.00%,28.00%,4.20%,2.70%,"3,535","2,811",20%,"$585,400 ","$1,645,559,400 "
Oviedo,Seminole,Central Florida,15,28.6619,-81.1871,"40,059","42,075",3,1.60%,"2,716","$103,882 ","$1,375,709,326 ",37,34.00%,19.00%,2.80%,4.80%,"13,243","12,775",4%,"$332,300 ","$4,245,132,500 "
Pace,Santa Rosa,Florida Panhandle,24,30.6167,-87.1647,"24,684","26,076",3,1.80%,"1,076","$67,500 ","$615,735,000 ",39,16.00%,11.00%,8.60%,4.10%,"9,122","8,586",6%,"$198,500 ","$1,704,321,000 "
Pahokee,Palm Beach,Southeast Florida,5,26.8202,-80.662,"5,524","5,488",4,-0.20%,"1,033","$30,753 ","$50,127,390 ",38,14.00%,1.00%,32.40%,23.60%,"1,630","1,482",9%,"$97,700 ","$144,791,400 "
Palatka,Putnam,Northeast Florida,10,29.6449,-81.6767,"10,446","10,413",4,-0.10%,"1,068","$28,082 ","$132,125,810 ",37,5.00%,5.00%,28.80%,13.20%,"4,705","4,267",9%,"$82,400 ","$351,600,800 "
Palm Bay,Brevard,Northeast Florida,98,27.9548,-80.665,"119,760","124,731",2,1.30%,"1,275","$55,963 ","$2,585,770,415 ",41,14.00%,7.00%,9.70%,5.30%,"46,205","41,900",9%,"$186,100 ","$7,797,590,000 "
Palm Beach,Palm Beach,Southeast Florida,4,26.685,-80.0372,"9,245","9,515",4,1.00%,"2,490","$168,787 ","$1,741,375,479 ",71,33.00%,35.00%,1.50%,5.30%,"10,317","5,359",48%,"$1,523,100 ","$8,162,292,900 "
Palm Beach Gardens,Palm Beach,Southeast Florida,59,26.8488,-80.1671,"59,182","62,401",3,1.80%,"1,063","$99,734 ","$3,059,240,716 ",51,31.00%,23.00%,2.90%,3.00%,"30,674","25,597",17%,"$414,300 ","$10,604,837,100 "
Palm City,Martin,Southeast Florida,14,27.1778,-80.2855,"25,883","26,711",3,1.00%,"1,927","$101,589 ","$1,167,968,733 ",51,30.00%,16.00%,5.00%,7.20%,"11,497","10,093",12%,"$417,000 ","$4,208,781,000 "
Palm Coast,Flagler,Northeast Florida,95,29.5368,-81.2426,"89,258","93,482",3,1.50%,983,"$61,847 ","$2,418,774,323 ",50,17.00%,7.00%,8.10%,4.00%,"39,109","34,321",12%,"$238,700 ","$8,192,422,700 "
Palm Harbor,Pinellas,Suncoast,17,28.0848,-82.7576,"61,366","62,545",3,0.60%,"3,606","$64,222 ","$1,937,192,408 ",50,23.00%,11.00%,6.20%,3.90%,"30,164","26,733",11%,"$266,200 ","$7,116,324,600 "
Palm River-Clair Mel,Hillsborough,Suncoast,11,27.9245,-82.3794,"26,142","27,678",3,1.90%,"2,421","$50,395 ","$496,491,540 ",35,13.00%,7.00%,16.30%,5.10%,"9,852","9,281",6%,"$164,300 ","$1,524,868,300 "
Palm Shores ,Brevard,Northeast Florida,1,,,,"1,637",4,,"2,727","$90,221 ","$54,673,926 ",39,19%,6%,13.50%,2.00%,606,569,6%,"$250,900 ","$142,762,100 "
Palm Springs,Palm Beach,Southeast Florida,4,26.6358,-80.0984,"26,890","29,278",3,2.80%,"6,963","$51,358 ","$512,912,346 ",37,11.00%,6.00%,10.80%,6.90%,"9,987","8,890",11%,"$183,200 ","$1,628,648,000 "
Palm Springs North,Miami-Dade,South Florida,1,25.9343,-80.331,"5,030","4,964",4,-0.40%,"6,244","$95,382 ","$149,177,448 ",43,16.00%,8.00%,5.10%,3.60%,"1,564","1,501",4%,"$422,300 ","$633,872,300 "
Palm Valley,St. Johns,Northeast Florida,12,30.2011,-81.395,"21,827","22,370",4,0.80%,"1,837","$109,529 ","$1,041,511,261 ",49,41.00%,24.00%,2.10%,2.70%,"9,509","8,094",15%,"$507,800 ","$4,110,133,200 "
Palmer Ranch,Sarasota,Suncoast,8,,,,"14,430",4,,"1,911","$91,651 ","$846,122,032 ",66,24.00%,30.00%,2.20%,3.90%,"9,232","7,497",19%,"$430,700 ","$3,228,957,900 "
Palmetto,Manatee,Suncoast,5,27.525,-82.575,"13,323","13,539",4,0.50%,"2,552","$50,762 ","$340,714,544 ",49,15.00%,8.00%,13.80%,8.10%,"6,712","4,796",29%,"$172,500 ","$827,310,000 "
Palmetto Bay,Miami-Dade,South Florida,8,25.6217,-80.3189,"24,439","24,748",4,0.40%,"2,987","$131,605 ","$1,103,902,740 ",42,32.00%,27.00%,4.70%,5.20%,"8,388","7,799",7%,"$617,900 ","$4,819,002,100 "
Palmetto Estates,Miami-Dade,South Florida,2,25.6227,-80.3606,"13,498","13,486",4,0.00%,"6,249","$72,352 ","$304,818,976 ",40,20.00%,5.00%,6.70%,4.70%,"4,213","4,120",2%,"$307,900 ","$1,268,548,000 "
Panama City,Bay,Florida Panhandle,35,30.1444,-85.6246,"32,939","31,877",3,-1.10%,910,"$51,569 ","$839,543,320 ",39,16.00%,9.00%,13.50%,6.70%,"16,280","14,667",10%,"$175,800 ","$2,578,458,600 "
Panama City Beach,Bay,Florida Panhandle,19,30.2332,-85.8771,"18,094","19,918",4,3.10%,"1,032","$70,131 ","$1,404,022,620 ",45,20.00%,11.00%,3.30%,2.30%,"20,020","7,801",61%,"$290,700 ","$2,267,750,700 "
Parker City,Bay,Florida Panhandle,2,,,,"4,273",4,,"2,219","$58,189 ","$108,347,918 ",36,9.00%,6.00%,10.20%,7.60%,"1,862","1,549",17%,"$155,400 ","$240,714,600 "
Parkland,Broward,Southeast Florida,13,26.3214,-80.2543,"34,670","37,883",3,2.90%,"3,030","$174,295 ","$1,877,157,150 ",39,33.00%,32.00%,4.00%,5.00%,"10,770","10,247",5%,"$655,300 ","$6,714,859,100 "
Pasadena Hills,Pasco,Suncoast,30,28.28,-82.2244,"11,120","12,185",4,3.00%,406,"$73,791 ","$354,934,710 ",40,17.00%,11.00%,5.70%,2.80%,"4,810","4,205",13%,"$234,800 ","$987,334,000 "
Patrick AFB ,Brevard,Northeast Florida,3,,,,"1,609",4,,522,"$66,250 ","$33,655,000 ",25,22%,17%,19.90%,6.90%,508,484,5%,--,#VALUE!
